Commands,,,Tx,Rx,Tx,Rx,Tx,Rx,Tx,Rx
Read Torque 1 FDB6,,7CC;7CD,03 22 FD B6 00 00 00 00 ,07 62 FD B6 00 00 00 00,,,,,,
Read Torque 2 FDB7,,7CC;7CD,03 22 FD B7 00 00 00 00 ,07 62 FD B7 00 00 00 00,,,,,,
Read Torque Trim 1 FDB4,,7CC;7CD,03 22 FD B4 00 00 00 00 ,07 62 FD B4 00 00 00 00,,,,,,
Read Torque Trim 2 FDB5,,7CC;7CD,03 22 FD B5 00 00 00 00 ,07 62 FD B5 00 00 00 00,,,,,,
Write Torque Trim 1 FDB4,,7CC;7CD,07 2E FD B4 00 00 00 00 ,03 6E FD B4 00 00 00 00,,,,,,
Write Torque Trim 2 FDB5,,7CC;7CD,07 2E FD B5 00 00 00 00 ,03 6E FD B5 00 00 00 00,,,,,,
XCP connect,,7AE;7B0,FF 00 00 00 00 00 00 00,FF xx xx xx xx xx xx xx,,,,,,
Read HW Torque T1,,7AE;7B0,F4 04 00 00 60 C3 BE FE,FF xx xx xx xx xx xx xx,,,,,,
Read HW Torque T2,,7AE;7B0,F4 04 00 00 64 C3 BE FE,FF xx xx xx xx xx xx xx,,,,,,
Read Motor Speed ,,7AE;7B0,F4 04 00 00 E0 C3 BE FE ,FF XX XX XX XX xx xx xx,,,,,,
Read Temperature  ,,7AE;7B0,F4 04 00 00 0C C5 BE FE,FF xx xx xx xx xx xx xx,,,,,,
Battery Voltage  ,,7AE;7B0,F4 04 00 00 20 C4 BE FE,FF xx xx xx xx xx xx xx,,,,,,
Read Motor Current   ,,7AE;7B0,F4 04 00 00 A8 C3 BE FE,FF xx xx xx xx xx xx xx,,,,,,
